scenario,controller,seed,headway_cv,travel_s,wait_s
Baseline,EH,10,0.10555769556926538,976.125,182.73873873873873
Baseline,EH,11,0.15700018166503607,1029.25,189.33333333333334
Baseline,EH,12,0.11058188625096992,972.125,181.85585585585585
Baseline,EH,13,0.09495359181559157,988.5,183.2882882882883
Baseline,EH,14,0.061709915894431755,967.75,190.5855855855856
Baseline,EH,15,0.10030128502746667,991.75,200.981981981982
Baseline,EH,16,0.09247091705765412,1013.25,187.66666666666666
Baseline,EH,17,0.08384676663887855,976.75,185.72972972972974
Baseline,EH,18,0.09171004064989428,969.875,182.45045045045046
Baseline,EH,19,0.11347129024247496,1010.5,202.63963963963963
Baseline,EH,20,0.13081562998547597,999.5,188.6036036036036
Baseline,EH,21,0.10098308206278435,961.5,185.22522522522522
Baseline,EH,22,0.0551831166482097,950.625,189.22522522522522
Baseline,EH,23,0.09162194647953242,977.5,192.46846846846847
Baseline,EH,24,0.09255129023224987,987.0,194.0990990990991
Baseline,EH,25,0.0653502847214663,973.0,188.53153153153153
Baseline,EH,26,0.06261468093063678,975.875,184.45045045045046
Baseline,EH,27,0.12668305396999976,1008.125,188.76576576576576
Baseline,EH,28,0.09666354499677879,988.875,188.63063063063063
Baseline,EH,29,0.07270436082441038,971.75,189.51351351351352
Weather,NC,0,0.46685432756384493,1260.0,213.7117117117117
Weather,NC,1,0.38659514445588095,1131.875,225.19819819819818
Weather,NC,2,0.2572299995935447,1057.125,194.4144144144144
Weather,NC,3,0.6121439571704046,1044.5,249.36036036036037
Weather,NC,4,0.41637409363152517,1127.375,212.9099099099099
Weather,NC,5,0.5240266445939268,1214.0,313.5405405405405
Weather,NC,6,0.3307645782019521,1112.0,204.0810810810811
Weather,NC,7,0.6752127569837716,1255.0,292.1261261261261
Weather,NC,8,0.1988331113091665,963.375,202.43243243243242
Weather,NC,9,0.5241526359834513,1108.25,278.63963963963965
Weather,NC,10,0.5506915775832473,1146.375,283.3693693693694
Weather,NC,11,0.6980937648108502,1237.375,294.47747747747746
