episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
321,1,1,1,1.174,-59.74,0.9053,,,,,0.318
322,1,0,0,0.0,-15.3,0.4729,,,,,0.316
323,1,1,0,1.177,-55.54,0.7605,,,,,0.313
324,0,1,0,1.125,-36.2,0.7298,,,,,0.311
325,1,0,1,0.0,-17.65,0.4489,,,,,0.309
326,0,1,0,0.622,-48.3,0.7635,,,,,0.307
327,1,0,1,0.0,-30.26,0.6066,,,,,0.305
328,0,1,1,0.073,-12.15,0.3756,,,,,0.303
329,0,0,0,0.0,-10.96,0.3848,,,,,0.301
330,0,0,1,0.0,-15.08,0.4541,,,,,0.299
331,1,0,1,0.0,-21.88,0.5658,,,,,0.296
332,0,0,0,0.0,-13.63,0.4059,,,,,0.294
333,0,0,1,0.0,-11.92,0.3962,,,,,0.292
334,1,0,1,0.0,-20.19,0.5255,,,,,0.29
335,0,1,0,1.168,-58.96,0.8665,,,,,0.288
336,1,1,0,0.112,-24.33,0.5336,,,,,0.286
337,0,1,1,0.807,-65.13,0.9697,,,,,0.284
338,0,0,1,0.0,-18.84,0.4762,,,,,0.282
339,0,1,1,1.181,-86.78,1.1876,,,,,0.279
340,0,0,0,0.0,-4.4,0.2373,,,,,0.277
341,0,0,1,0.0,-10.32,0.3629,,,,,0.275
342,1,0,0,0.0,-13.95,0.3725,,,,,0.273
343,1,1,0,0.704,-41.76,0.7428,,,,,0.271
344,0,1,0,0.733,-45.17,0.7784,,,,,0.269
345,1,1,1,1.291,-87.61,0.9908,,,,,0.267
346,1,1,0,0.124,-13.96,0.4397,,,,,0.265
347,0,1,1,1.19,-54.67,0.9155,,,,,0.262
348,1,1,1,0.249,-24.02,0.5193,,,,,0.26
349,0,0,1,0.0,-22.53,0.5631,,,,,0.258
350,1,0,1,0.0,-6.5,0.278,0.6123,0.4979,0.5739,0.765,0.256
351,0,1,0,1.012,-87.84,1.3249,,,,,0.254
352,1,1,0,0.737,-40.72,0.6891,,,,,0.252
