episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
438,1,0,0,0.0,-29.87,0.4473,,,,,0.069
439,0,1,0,0.83,-69.02,0.6707,,,,,0.066
440,1,0,0,0.0,-76.95,0.5305,,,,,0.064
441,0,0,1,0.0,-31.54,0.4342,,,,,0.062
442,0,0,1,0.0,-21.8,0.3788,,,,,0.06
443,0,0,0,0.0,-23.72,0.3454,,,,,0.058
444,1,0,0,0.0,-20.46,0.3456,,,,,0.056
445,0,1,1,1.018,-82.2,0.8387,,,,,0.054
446,1,0,0,0.0,-28.11,0.3872,,,,,0.052
447,1,1,0,1.123,-71.03,0.712,,,,,0.05
448,1,0,1,0.0,-27.85,0.3946,,,,,0.05
449,1,1,1,0.442,-72.88,0.7148,,,,,0.05
450,1,1,0,1.04,-107.94,1.0233,0.5313,0.4027,0.4827,0.7084,0.05
451,0,1,1,0.61,-76.82,0.616,,,,,0.05
452,1,1,1,0.13,-31.89,0.4491,,,,,0.05
453,1,0,1,0.0,-37.05,0.4571,,,,,0.05
454,1,0,1,0.0,-37.51,0.4056,,,,,0.05
