episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
299,1,1,1,1.173,-117.14,0.814,,,,,0.364
300,1,0,0,0.0,-31.4,0.3954,0.5176,0.3718,0.4793,0.7018,0.362
301,1,1,0,0.817,-86.53,0.917,,,,,0.36
302,0,0,1,0.0,-21.97,0.3394,,,,,0.358
303,1,0,0,0.0,-88.61,0.7515,,,,,0.356
304,0,1,1,0.871,-64.86,0.7306,,,,,0.354
305,0,0,1,0.0,-18.56,0.3722,,,,,0.352
306,0,1,1,0.093,-18.87,0.3575,,,,,0.35
307,0,0,1,0.0,-28.61,0.3952,,,,,0.348
308,1,1,1,1.01,-112.0,0.8537,,,,,0.345
309,0,1,0,0.681,-117.23,0.8891,,,,,0.343
310,0,1,0,0.092,-32.26,0.4271,,,,,0.341
311,0,1,0,0.092,-36.32,0.438,,,,,0.339
312,1,0,1,0.0,-35.36,0.4935,,,,,0.337
313,1,1,1,1.122,-119.37,0.881,,,,,0.335
314,1,1,1,0.557,-86.19,0.7244,,,,,0.333
315,1,0,0,0.0,-33.82,0.4437,,,,,0.331
316,1,0,1,0.0,-36.18,0.4196,,,,,0.328
317,1,1,1,1.031,-140.17,0.926,,,,,0.326
318,0,1,0,1.072,-86.78,0.8053,,,,,0.324
319,1,1,0,0.043,-45.93,0.4548,,,,,0.322
320,1,1,0,0.825,-54.48,0.728,,,,,0.32
321,1,1,1,1.174,-108.74,0.8988,,,,,0.318
322,1,0,0,0.0,-34.6,0.4418,,,,,0.316
323,1,1,0,1.177,-103.24,0.7022,,,,,0.313
324,0,1,0,1.125,-64.9,0.7259,,,,,0.311
325,1,0,1,0.0,-40.99,0.4556,,,,,0.309
326,0,1,0,0.622,-85.95,0.7521,,,,,0.307
327,1,0,1,0.0,-75.88,0.6585,,,,,0.305
328,0,1,1,0.073,-29.11,0.3989,,,,,0.303
329,0,0,0,0.0,-20.33,0.3575,,,,,0.301
330,0,0,1,0.0,-30.02,0.3723,,,,,0.299
331,1,0,1,0.0,-53.16,0.5424,,,,,0.296
332,0,0,0,0.0,-29.82,0.4169,,,,,0.294
333,0,0,1,0.0,-25.31,0.3538,,,,,0.292
334,1,0,1,0.0,-35.58,0.4647,,,,,0.29
335,0,1,0,1.168,-126.51,0.8743,,,,,0.288
336,1,1,0,0.112,-66.56,0.637,,,,,0.286
337,0,1,1,0.807,-118.24,0.9927,,,,,0.284
338,0,0,1,0.0,-33.46,0.4422,,,,,0.282
339,0,1,1,1.181,-141.89,1.2488,,,,,0.279
340,0,0,0,0.0,-15.31,0.2703,,,,,0.277
341,0,0,1,0.0,-23.9,0.3121,,,,,0.275
342,1,0,0,0.0,-29.48,0.3636,,,,,0.273
343,1,1,0,0.704,-78.8,0.6756,,,,,0.271
344,0,1,0,0.733,-105.17,0.7553,,,,,0.269
345,1,1,1,1.291,-144.56,0.9821,,,,,0.267
346,1,1,0,0.124,-30.08,0.4038,,,,,0.265
347,0,1,1,1.19,-96.06,0.8888,,,,,0.262
348,1,1,1,0.249,-52.05,0.5281,,,,,0.26
