episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
323,1,1,0,1.177,-42.86,0.7745,,,,,0.313
324,0,1,0,1.125,-33.98,0.8111,,,,,0.311
325,1,0,1,0.0,-20.63,0.5244,,,,,0.309
326,0,1,0,0.622,-37.62,0.7713,,,,,0.307
327,1,0,1,0.0,-35.69,0.7069,,,,,0.305
328,0,1,1,0.073,-11.54,0.426,,,,,0.303
329,0,0,0,0.0,-9.76,0.3856,,,,,0.301
330,0,0,1,0.0,-11.62,0.4075,,,,,0.299
331,1,0,1,0.0,-24.42,0.602,,,,,0.296
332,0,0,0,0.0,-13.92,0.4334,,,,,0.294
333,0,0,1,0.0,-12.03,0.4218,,,,,0.292
334,1,0,1,0.0,-20.06,0.56,,,,,0.29
335,0,1,0,1.168,-47.02,0.866,,,,,0.288
336,1,1,0,0.112,-29.2,0.6826,,,,,0.286
337,0,1,1,0.807,-55.57,1.0067,,,,,0.284
338,0,0,1,0.0,-16.46,0.4736,,,,,0.282
339,0,1,1,1.181,-59.35,1.2062,,,,,0.279
340,0,0,0,0.0,-5.53,0.2775,,,,,0.277
341,0,0,1,0.0,-11.42,0.4053,,,,,0.275
342,1,0,0,0.0,-19.2,0.5023,,,,,0.273
343,1,1,0,0.704,-34.38,0.7122,,,,,0.271
344,0,1,0,0.733,-36.73,0.7674,,,,,0.269
345,1,1,1,1.291,-65.95,1.0059,,,,,0.267
346,1,1,0,0.124,-12.26,0.4672,,,,,0.265
347,0,1,1,1.19,-42.07,0.9249,,,,,0.262
348,1,1,1,0.249,-23.23,0.581,,,,,0.26
349,0,0,1,0.0,-22.1,0.6332,,,,,0.258
350,1,0,1,0.0,-12.99,0.4675,0.6218,0.5301,0.5773,0.758,0.256
351,0,1,0,1.012,-66.57,1.3332,,,,,0.254
352,1,1,0,0.737,-36.57,0.7399,,,,,0.252
353,0,0,1,0.0,-15.82,0.467,,,,,0.25
354,0,0,0,0.0,-6.86,0.3177,,,,,0.248
355,0,0,0,0.0,-13.62,0.4737,,,,,0.245
356,1,1,0,1.291,-32.92,0.6736,,,,,0.243
357,1,0,1,0.0,-22.74,0.5662,,,,,0.241
358,1,1,0,0.296,-15.82,0.4825,,,,,0.239
359,1,1,1,1.255,-41.06,0.8555,,,,,0.237
360,0,0,0,0.0,-16.16,0.5035,,,,,0.235
361,0,0,0,0.0,-6.64,0.3253,,,,,0.233
